user_id,product_id,clicked
104863,1350,FALSE
108656,1321,TRUE
100120,1110,FALSE
104838,1443,TRUE
107304,1397,TRUE
106682,1246,TRUE
110052,1897,FALSE
100142,1843,TRUE
101559,1159,FALSE
110501,1268,FALSE
109185,1281,FALSE
106343,1670,FALSE
107547,1671,FALSE
101696,1228,FALSE
111749,1445,FALSE
101080,1384,TRUE
111088,1245,FALSE
103033,1404,FALSE
100467,1108,TRUE
108385,1855,FALSE
111168,1349,TRUE
106003,1649,FALSE
102163,1058,FALSE
107394,1527,TRUE
100901,1143,FALSE
107600,1357,FALSE
106313,1524,TRUE
107819,1899,FALSE
110152,1219,TRUE
111575,1388,TRUE
109064,1235,TRUE
109889,1352,FALSE
104253,1186,TRUE
110790,1137,FALSE
110404,1046,FALSE
107403,1905,TRUE
107711,1024,FALSE
102587,1639,FALSE
101586,1506,FALSE
105555,1540,TRUE
104939,1212,FALSE
103975,1439,TRUE
105391,1616,FALSE
111289,1848,FALSE
109109,1621,FALSE
104502,1179,TRUE
107622,1312,FALSE
101212,1292,FALSE
104357,1468,FALSE
111630,1719,FALSE
106018,1419,TRUE
104609,1827,TRUE
107058,1229,TRUE
106853,1799,TRUE
109561,1119,TRUE
109203,1188,FALSE
105368,1152,TRUE
101382,1277,FALSE
104407,1723,FALSE
105131,1392,FALSE
108207,1213,FALSE
109011,1787,FALSE
106213,1015,FALSE
109245,1857,FALSE
108493,1259,TRUE
100467,1888,TRUE
109658,1567,TRUE
111276,1808,FALSE
110496,1766,FALSE
104712,1321,FALSE
110016,1788,TRUE
103405,1766,FALSE
103187,1175,FALSE
101176,1687,FALSE
100577,1284,TRUE
106497,1550,FALSE
109585,1086,FALSE
106627,1412,TRUE
105472,1503,TRUE
101172,1865,TRUE
107849,1902,TRUE
109301,1350,FALSE
102202,1026,TRUE
101963,1805,FALSE
102059,1446,TRUE
100087,1991,TRUE
111021,1368,TRUE
105457,1144,TRUE
105127,1262,FALSE
103585,1488,FALSE
106509,1088,FALSE
108419,1621,FALSE
110580,1956,FALSE
103792,1627,TRUE
108464,1124,TRUE
111387,1281,FALSE
100479,1089,FALSE
108884,1117,TRUE
111127,1330,FALSE
107954,1353,FALSE
102815,1803,FALSE
106250,1436,TRUE
102398,1261,FALSE
105676,1841,FALSE
110256,1666,FALSE
108974,1471,TRUE
107140,1497,FALSE
111597,1291,FALSE
106747,1371,FALSE
110816,1634,FALSE
111664,1720,FALSE
106359,1915,FALSE
103145,1155,FALSE
108456,1995,FALSE
108940,1451,TRUE
101662,1829,FALSE
108461,1303,FALSE
103013,1751,FALSE
106286,1253,FALSE
110063,1622,FALSE
106703,1533,TRUE
102969,1754,TRUE
104491,1703,FALSE
110008,1068,FALSE
102810,1542,FALSE
110876,1381,FALSE
100931,1491,FALSE
103741,1633,FALSE
102960,1862,TRUE
110749,1839,FALSE
101622,1091,FALSE
111632,1889,TRUE
109859,1322,FALSE
100084,1656,TRUE
102650,1559,TRUE
103314,1903,FALSE
111346,1106,FALSE
101989,1817,FALSE
109328,1523,FALSE
101785,1915,FALSE
104902,1745,FALSE
103030,1570,TRUE
103815,1831,FALSE
106035,1922,FALSE
102335,1077,TRUE
108754,1085,TRUE
103703,1035,TRUE
105783,1377,TRUE
106240,1788,FALSE
